state,state_abbr,total,a,as,cas,d,i,o,no,noh,ra,rb,rna,ro,rel,rep,s,sh,unk,month,year
Alabama,AL,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Arkansas,AR,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
California,CA,7,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,6,2016
Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Disrict Of Columbia,DC,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2016
Florida,FL,5,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,6,2016
Georgia,GA,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Illnois,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Indiana,IN,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Kansas,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Kentucky,KY,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Louisana,LA,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2016
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Maryland,MD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Michigan,MI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Minnesota,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Mississippi,MS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2016
Missouri,MO,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,2016
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
New Jersey,NJ,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,2016
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
New York,NY,20,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,6,2016
North Carolina,NC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Ohio,OH,4,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2016
Oklahoma,OK,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Pennsylvania,PA,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,2016
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
South Carolina,SC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2016
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Tennessee,TN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2016
Texas,TX,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Utah,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Virginia,VA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2016
Washington,WA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
West Virginia,WV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Wisconson,WI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2016
Outside USA,XX,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
No State,NS,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2016
