state,state_abbr,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,5,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,3,2016
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Arizona,AZ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Arkansas,AR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2016
California,CA,9,0,0,0,1,0,0,0,0,3,3,0,0,0,2,0,0,0,3,2016
Colorado,CO,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,2016
Connecticut,CT,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2016
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Disrict Of Columbia,DC,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2016
Florida,FL,6,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,3,2016
Georgia,GA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2016
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Illnois,IL,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2016
Indiana,IN,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2016
Iowa,IA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Kansas,KS,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Kentucky,KY,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Louisana,LA,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2016
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Maryland,MD,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2016
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Michigan,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Minnesota,MN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2016
Mississippi,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Missouri,MO,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2016
Montana,MT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2016
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Nevada,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2016
New Hampshire,NH,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2016
New Jersey,NJ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
New York,NY,19,1,0,0,0,0,0,0,0,2,10,1,0,1,4,0,0,0,3,2016
North Carolina,NC,4,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,3,2016
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Ohio,OH,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2016
Oklahoma,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Oregon,OR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2016
Pennsylvania,PA,5,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,3,2016
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
South Carolina,SC,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2016
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Tennessee,TN,5,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,3,2016
Texas,TX,13,1,0,0,0,0,1,0,0,3,1,0,0,0,7,0,0,0,3,2016
Utah,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Virginia,VA,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Wisconson,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
Outside USA,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2016
No State,NS,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,3,2016
