state,state_abber,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
California,CA,14,1,2,0,2,0,0,0,0,2,3,1,2,0,1,0,0,0,4,2016
Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Disrict Of Columbia,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Florida,FL,5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,2016
Georgia,GA,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2016
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Idaho,ID,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Illnois,IL,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,2016
Indiana,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Iowa,IA,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2016
Kansas,KS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Kentucky,KY,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2016
Louisana,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Maryland,MD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2016
Massachusetts,MA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2016
Michigan,MI,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,2016
Minnesota,MN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2016
Mississippi,MS,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2016
Missouri,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Montana,MT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2016
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
New Jersey,NJ,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2016
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
New York,NY,18,0,0,0,1,0,0,0,0,3,13,0,0,0,1,0,0,0,4,2016
North Carolina,NC,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,2016
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Ohio,OH,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Oklahoma,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Pennsylvania,PA,6,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,2016
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
South Carolina,SC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Tennessee,TN,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2016
Texas,TX,8,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,4,2016
Utah,UT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2016
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Virginia,VA,4,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,4,2016
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Wisconson,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
Outside USA,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2016
No State,NS,7,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,2016
