state,total,ytd
Hawaii,0,3
Washington,0,2
Montana,1,3
Maine,0,0
North Dakota,0,0
South Dakota,0,0
Wyoming,0,0
Wisconson,0,3
Idaho,0,1
Vermont,0,0
Minnesota,1,3
Oregon,1,3
New Hampshire,1,1
Iowa,1,6
Massachusetts,0,3
Nebraska,0,1
New York,19,49
Pennsylvania,5,21
Connecticut,2,8
Rhode Island ,0,1
New Jersey,1,9
Indiana,2,4
Nevada,1,2
Utah,0,1
California,9,40
Ohio,2,7
Illnois,4,10
Disrict Of Columbia,2,5
Delaware,0,0
West Virginia,0,1
Maryland,2,9
Colorado,3,8
Kentucky,2,6
Kansas,1,1
Virginia,2,10
Missouri,1,3
Arizona,1,2
Oklahoma,0,0
North Carolina,4,10
Tennessee,5,7
Texas,13,25
New Mexico,0,1
Alabama,5,7
Mississippi,0,2
Georgia,2,13
South Carolina,2,6
Arkansas,2,2
Louisana,2,5
Florida,6,15
Michigan,0,5
Alaska,0,0
