state,state_abbr,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,6,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
California,CA,17,0,0,0,0,0,0,0,0,2,10,1,0,0,3,0,1,0,3,2015
Colorado,CO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2015
Connecticut,CT,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2015
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Disrict Of Columbia,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Florida,FL,10,1,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,2015
Georgia,GA,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2015
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Illnois,IL,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2015
Indiana,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Kansas,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Kentucky,KY,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2015
Louisana,LA,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2015
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Maryland,MD,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2015
Massachusetts,MA,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2015
Michigan,MI,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2015
Minnesota,MN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2015
Mississippi,MS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2015
Missouri,MO,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2015
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Nebraska,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2015
Nevada,NV,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2015
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
New Jersey,NJ,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2015
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
New York,NY,20,0,0,0,0,0,0,0,0,3,14,1,0,0,2,0,0,0,3,2015
North Carolina,NC,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Ohio,OH,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2015
Oklahoma,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Pennsylvania,PA,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,2015
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
South Carolina,SC,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2015
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Tennessee,TN,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2015
Texas,TX,5,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,3,2015
Utah,UT,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Virginia,VA,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,2015
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Wisconson,WI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Outside USA,XX,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2015
No State,NS,8,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,2,0,3,2015
