state,state_abbr,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
California,CA,11,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,1,2015
Colorado,CO,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015
Connecticut,CT,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2015
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Disrict Of Columbia,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Florida,FL,10,1,0,0,0,0,0,0,0,4,1,1,0,0,3,0,0,0,1,2015
Georgia,GA,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2015
Hawaii,HI,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Illnois,IL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
Indiana,IN,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2015
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Kansas,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Kentucky,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Louisana,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Maryland,MD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Michigan,MI,6,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,2015
Minnesota,MN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
Mississippi,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Missouri,MO,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
New Hampshire,NH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
New Jersey,NH,6,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,2015
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
New York,NY,12,0,0,0,0,0,0,0,0,2,7,1,0,1,1,0,0,0,1,2015
North Carolina,NC,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Ohio,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Okalahma,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Pennsylvania,PA,6,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,2015
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
South Carolina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Tennessee,TN,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2015
Texas,TX,11,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0,1,0,1,2015
Utah,UT,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Virginia,VA,6,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,2015
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
West Virginia,WV,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2015
Wisconson,WI,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
Outside USA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015
No State,NS,6,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2015
