state,state_abbr,total,a,as,cas,d,i,o,no,noh,ra,rb,rna,ro,rel,rep,s,sh,unk,month,year
Alabama,AL,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Arizona,AZ,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,4,2015
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
California,CA,19,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,7,4,2015
Colorado,CO,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,2015
Connecticut,CT,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2015
Delaware,DE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2015
Disrict Of Columbia,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Florida,FL,15,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,8,4,2015
Georgia,GA,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,4,2015
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Illnois,IL,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,2015
Indiana,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Kansas,KS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2015
Kentucky,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Louisana,LA,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2015
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Maryland,MD,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,4,2015
Massachusetts,MA,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,2015
Michigan,MI,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,4,2015
Minnesota,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Mississippi,MS,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2015
Missouri,MO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2015
Montana,MT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
New Jersey,NJ,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,4,2015
New Mexico,NM,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2015
New York,NY,17,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,4,2015
North Carolina,NC,9,0,0,0,1,3,0,1,0,0,1,0,2,1,0,0,0,0,4,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Ohio,OH,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,4,2015
Oklahoma,OK,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,2015
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Pennsylvania,PA,17,0,0,0,0,5,9,0,0,0,0,0,0,0,0,1,0,2,4,2015
Rhode Island ,RI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
South Carolina,SC,6,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,4,2015
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Tennessee,TN,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,2015
Texas,TX,13,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,5,4,2015
Utah,UT,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Virginia,VA,5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4,2015
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
West Virginia,WV,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2015
Wisconson,WI,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
Outside USA,XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2015
No State,NS,13,0,0,0,1,1,7,0,0,0,0,0,1,0,0,1,0,2,4,2015
