State,state_abbr,total,a,as,cas,d,i,o,no,noh,ra,rb,rna,ro,rel,rep,s,sh,unk,month,year
Alabama,AL,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7,2015
Alaska,AK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2015
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Arkansas,AR,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2015
California,CA,13,0,0,0,0,4,4,1,0,0,1,0,0,2,0,0,0,1,7,2015
Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Connecticut,CT,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Disrict Of Columbia,DC,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2015
Florida,FL,9,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,0,0,7,2015
Georgia,GA,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7,2015
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Illnois,IL,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7,2015
Indiana,IN,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2015
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Kansas,KS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2015
Kentucky,KY,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2015
Louisana,LA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2015
Maine,ME,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2015
Maryland,MD,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,2015
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Michigan,MI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2015
Minnesota,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Mississippi,MS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Missouri,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Nebraska,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Nevada,NV,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2015
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
New Jersey,NJ,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,2015
New Mexico,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
New York,NY,21,1,0,0,0,7,11,0,0,0,1,0,0,0,0,0,0,1,7,2015
North Carolina,NC,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,2015
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Ohio,OH,6,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,7,2015
Oklahoma,OK,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2015
Oregon,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Pennsylvania,PA,8,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,7,2015
Rhode Island ,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
South Carolina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Tennessee,TN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2015
Texas,TX,9,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,1,0,7,2015
Utah,UT,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,2015
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Virginia,VA,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,7,2015
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
West Virginia,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Wisconson,WI,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,2015
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Outside USA,XX,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,2015
No State,NS,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,2015
