state,state_abbr,total,aj,ed,e,fp,hac,hec,h,hr,nj,o,pb,pm,pc,pr,pa,unk,vr,month,year
Alabama,AL,2,,,,,,,,,2,,,,,,,,,4,2015
Alaska,AK,0,,,,,,,,,,,,,,,,,,4,2015
Arizona,AZ,5,,,,,,,,,3,,,,,,,2,,4,2015
Arkansas,AR,0,,,,,,,,,,,,,,,,,,4,2015
California,CA,19,,,,,,,,,5,5,1,,,1,,7,,4,2015
Colorado,CO,3,,,,,,,,,1,1,,,,,,1,,4,2015
Connecticut,CT,2,,,,,,,,,2,,,,,,,,,4,2015
Delaware,DE,1,,,,,,,,,1,,,,,,,,,4,2015
Disrict Of Columbia,DC,0,,,,,,,,,,,,,,,,,,4,2015
Florida,FL,15,,,,,,,,,1,5,,,,1,,8,,4,2015
Georgia,GA,4,,,,,,,,,1,1,,,,1,,1,,4,2015
Hawaii,HI,0,,,,,,,,,,,,,,,,,,4,2015
Idaho,ID,0,,,,,,,,,,,,,,,,,,4,2015
Illnois,IL,3,,,,,,,,,2,,,,,,,1,,4,2015
Indiana,IN,0,,,,,,,,,,,,,,,,,,4,2015
Iowa,IA,0,,,,,,,,,,,,,,,,,,4,2015
Kansas,KS,2,,,,,,,,,,,,,,,,2,,4,2015
Kentucky,KY,0,,,,,,,,,,,,,,,,,,4,2015
Louisana,LA,2,,,,,,,,,1,,,,,,,1,,4,2015
Maine,ME,0,,,,,,,,,,,,,,,,,,4,2015
Maryland,MD,6,,,,,,,,,,2,,1,,,,3,,4,2015
Massachusetts,MA,3,,,1,1,,,,,,1,,,,,,,,4,2015
Michigan,MI,5,,,,,,,,,2,2,1,,,,,,,4,2015
Minnesota,MN,0,,,,,,,,,,,,,,,,,,4,2015
Mississippi,MS,2,,,,,,,,,,1,,,,,,1,,4,2015
Missouri,MO,1,,,,,,,,,,,,,,,,1,,4,2015
Montana,MT,1,,,,,,,,,,,,,,,,1,,4,2015
Nebraska,NE,0,,,,,,,,,,,,,,,,,,4,2015
Nevada,NV,0,,,,,,,,,,,,,,,,,,4,2015
New Hampshire,NH,0,,,,,,,,,,,,,,,,,,4,2015
New Jersey,NJ,6,,,,,1,,,,3,1,,,,,,1,,4,2015
New Mexico,NM,1,,,,,,,,,,1,,,,,,,,4,2015
New York,NY,17,,,,,,,,,6,7,,3,,1,,,,4,2015
North Carolina,NC,9,2,,,1,,1,,,2,,,,,2,,,1,4,2015
North Dakota,ND,0,,,,,,,,,,,,,,,,,,4,2015
Ohio,OH,7,,,,,,,,,1,1,,,,1,,4,,4,2015
Oklahoma,OK,3,,,,,,,,,,,,,,1,,2,,4,2015
Oregon,OR,0,,,,,,,,,,,,,,,,,,4,2015
Pennsylvania,PA,17,1,,,,,,,,2,11,,,,1,,2,,4,2015
Rhode Island ,RI,1,,,,,,,,,,1,,,,,,,,4,2015
South Carolina,SC,6,,,,,,,,,1,3,,1,,,,1,,4,2015
South Dakota,SD,0,,,,,,,,,,,,,,,,,,4,2015
Tennessee,TN,3,,,,,,,,,1,1,,,,,,1,,4,2015
Texas,TX,13,,,,,,,,,3,3,,1,,1,,,5,4,2015
Utah,UT,3,,,1,,,,,,2,,,,,,,,,4,2015
Vermont,VT,0,,,,,,,,,,,,,,,,,,4,2015
Virginia,VA,5,,,,,,,,,1,2,,,,2,,,,4,2015
Washington,WA,0,,,,,,,,,,,,,,,,,,4,2015
West Virginia,WV,2,,,,,,,,,,,,,,1,,1,,4,2015
Wisconson,WI,2,,,,,,,,,1,,,,,,,1,,4,2015
Wyoming,WY,0,,,,,,,,,,,,,,,,,,4,2015
Outside USA,XX,0,,,,,,,,,,,,,,,,,,4,2015
No State,NS,13,,,2,,,,1,,7,1,,,,,,2,,4,2015
